org_video,label,start_frm,video_id
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,0,0
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,16,1
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,32,2
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,48,3
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,64,4
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,80,5
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,96,6
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,112,7
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,128,8
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,144,9
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,160,10
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,176,11
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,192,12
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,208,13
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,224,14
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,240,15
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,256,16
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,272,17
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,288,18
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,304,19
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,320,20
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,336,21
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,352,22
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,368,23
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,384,24
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,400,25
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,416,26
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,432,27
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,448,28
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,464,29
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,480,30
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,496,31
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,512,32
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,528,33
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,544,34
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,560,35
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,576,36
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,592,37
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,608,38
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,624,39
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,640,40
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,656,41
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,672,42
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,688,43
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,704,44
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,720,45
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,736,46
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,752,47
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,768,48
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,784,49
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,800,50
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,816,51
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,832,52
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,848,53
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,864,54
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,880,55
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,896,56
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,912,57
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,928,58
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,944,59
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,960,60
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,976,61
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,992,62
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1008,63
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1024,64
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1040,65
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1056,66
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1072,67
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1088,68
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1104,69
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1120,70
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1136,71
